unit,nace_r2,geo\time	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 
MIO_EUR,C_LTC_M,SI	: 	65 	70 	62 	51 b	46 	36 	37 	: 	: 	: 
MIO_EUR,C_LTC_M,SK	: 	: c	: c	: c	: c	: c	: c	: c	: c	: c	20 
MIO_EUR,C_LTC_M,TR	: 	216 d	186 d	195 d	153 d	161 d	102 	: 	: 	: 	: 
MIO_EUR,C_LTC_M,UK	: 	1143 c	954 	980 c	986 c	1082 	1200 	1060 	1160 	: 	: 
MIO_EUR,G-N,AT	: 	: 	2504 	: 	1987 	: 	1607 	: 	1419 	1240 	: 
MIO_EUR,G-N,BE	: 	: 	2433 	2330 	1923 	1858 	1518 	1537 	: 	: 	: 
MIO_EUR,G-N,BG	: 	181 	139 	129 	102 	91 	40 	30 	28 	18 	: 
MIO_EUR,G-N,CH	: 	: 	: 	3342 	: 	: 	: 	1911 	: 	: 	: 
MIO_EUR,G-N,CY	: 	4 	4 	5 	7 	9 	10 	10 	: 	: 	: 
MIO_EUR,G-N,CZ	: 	688 	620 	642 	568 	483 	429 	459 	420 	320 	270 
MIO_EUR,G-N,DE	: 	7061 	7041 	7026 	6920 	6245 	6116 	4984 	4796 	: 	: 
MIO_EUR,G-N,DK	: 	1985 	1969 	2106 	2255 	2214 	2379 	: 	: 	: 	: 
MIO_EUR,G-N,EE	: 	80 	93 	102 	74 	70 	66 	66 	52 	: 	: 
MIO_EUR,G-N,EL	: 	: 	300 	: 	280 b	: 	: 	: 	: 	: 	: 
MIO_EUR,G-N,ES	: 	3212 	3324 	3360 	3445 	3637 	3686 	3997 	: 	: 	: 
MIO_EUR,G-N,FI	: 	1133 	1191 	1162 	1036 	859 	858 	950 	: 	: 	: 
MIO_EUR,G-N,FR	: 	: 	14138 	14037 	13611 	12764 	11520 	10228 	9597 	: 	: 
MIO_EUR,G-N,HR	: 	73 	83 	78 	80 	85 	86 	93 	87 	53 	63 
MIO_EUR,G-N,HU	: 	435 	365 	260 	246 	199 	162 	123 	110 	86 	63 
MIO_EUR,G-N,IE	: 	: 	1143 	: 	1109 	1088 e	1109 	: 	: 	: 	: 
MIO_EUR,G-N,IS	163 	114 	76 b	: 	76 e	: 	: 	: 	: 	: 	: 
MIO_EUR,G-N,IT	: 	3163 	2886 	2600 	2655 	2794 	2801 	2581 	2626 	: 	: 
MIO_EUR,G-N,LT	: 	64 	50 	46 	44 	35 	21 	26 	: 	: 	: 
MIO_EUR,G-N,LU	: 	: 	117 	: 	: c	: 	: c	: 	: 	: 	: 
MIO_EUR,G-N,LV	: 	25 	14 	15 	15 	21 	18 	25 	: 	: 	: 
MIO_EUR,G-N,MT	: 	23 	18 	17 	14 	11 	6 	7 	: 	: 	: 
MIO_EUR,G-N,NL	: 	2627 	2592 	2635 b	2624 b	1483 	1137 	1305 	: 	: 	: 
MIO_EUR,G-N,NO	: 	2019 	1989 	1980 	1812 	1613 	1363 	1424 	: 	: 	: 
MIO_EUR,G-N,PL	: 	891 	685 	567 	391 	320 	233 	337 	255 	244 	214 
MIO_EUR,G-N,PT	: 	563 	606 	634 	737 	763 	780 	732 	590 	: 	: 
MIO_EUR,G-N,RO	: 	104 	78 	141 	110 b	70 	75 	66 	: 	: 	: 
MIO_EUR,G-N,RS	: 	: 	: 	: 	6 	13 	25 	: 	: 	: 	: 
MIO_EUR,G-N,SE	: 	: 	2802 	: 	2551 	: 	1880 	: 	2467 	: 	: 
MIO_EUR,G-N,SI	: 	224 	239 	257 	196 b	103 	83 	65 	: 	: 	: 
MIO_EUR,G-N,SK	: 	79 	117 	107 	63 	51 	39 	47 	49 	47 	51 
MIO_EUR,G-N,TR	: 	1404 	1298 	1142 	922 	923 	530 	: 	: 	: 	: 
MIO_EUR,G-N,UK	: 	14296 	12287 	11955 	12083 	11270 	10404 	11973 	12843 	: 	: 
MIO_EUR,TOTAL,AT	7397 e	7153 e	6778 	6540 e	5693 	5520 e	5093 	5233 e	4846 	4449 	4208 e
MIO_EUR,TOTAL,BE	7247 p	7033 e	6746 	6493 	5613 	5028 	4575 	4650 	4420 	4106 	3776 
